epoch,dirt,mud,water,gravel,other-terrain,tree-trunk,tree-foliage,bush,fence,structure,rock,log,other-object,sky,grass,miou,loss,
"Unet, Training set subset ratio: 0.3, Testing set subset ratio: 0.1",,,,,,,,,,,,,,,,,,
1,0.197739567,0,0,0,0,0.204549534,0.472726106,0,0,0,0,0,0,0.289544838,0.177969954,0.08318286,0.749,0.268506
2,0.124647607,0,0,0,0,0.157364051,0.515313291,0,0,0,0,0,0,0.4804088,0.120259234,0.091266696,0.642,0.279598597
3,0.115312018,0,0,0,0,0.198541304,0.546518889,0,0,0,0,0,0,0.560134891,0.087439764,0.101464793,0.556,0.301589373
4,0.25147606,0,0,0,0,0.207643053,0.506229597,0,0,0,0,0,0,0.329310194,0.208401217,0.092475636,0.568,0.300612024
5,0.158612881,0,0,0,0,0.221606658,0.482464202,0,0,0,0,0,0,0.292136121,0.16438517,0.082487133,0.577,0.263841006
6,0.151389699,0,0,0,0,0.222281344,0.419197027,0,0,0,0,0,0,0.283931857,0.174438584,0.076914281,0.574,0.250247702
7,0.183146122,0,0,0,0,0.249401894,0.463445278,0,0,0,0,0,0,0.283063391,0.196991716,0.084218335,0.43,0.27520968
8,0.347505106,0,0,0,0,0.202441665,0.555576518,0,0,0,0,0,0,0.517324933,0.242220197,0.11591773,0.434,0.373013684
9,0.349650758,0,0,0,0,0.225941082,0.532933994,0,0,0,0,0,0,0.317760374,0.241814609,0.101877586,0.478,0.333620163
10,0.270167876,0,0,0,0,0.231988441,0.49356007,0,0,0,0,0,0,0.313161754,0.2226412,0.093491296,0.413,0.306303868
11,0.312329055,0,0,0,0,0.232799108,0.547546195,0,0,0,0,0,0,0.386832058,0.227923831,0.10567903,0.435,0.341486049
12,0.282945231,0,0,0,0,0.247811594,0.514057575,0,0,0,0,0,0,0.520258503,0.261178214,0.111790922,0.412,0.365250223
13,0.521293776,0,0,0,0,0.240731191,0.55146318,0,0,0,0,0,0,0.388411598,0.264734093,0.121564268,0.382,0.393326768
14,0.294537851,0,0,0,0,0.259412691,0.46462564,0,0,0,0,0,0,0.144987445,0.191533004,0.083111688,0.395,0.271019326
15,0.172280353,0,0,0,0,0.227075097,0.358313988,0,0,0,0,0,0,0.381634499,0.159898494,0.081378853,0.387,0.259840486
16,0.26573059,0,0,0,0,0.264415183,0.460326273,0,0,0,0,0,0,0.385322007,0.170306733,0.098271004,0.401,0.309220157
17,0.199268029,0,0,0,0,0.277250958,0.398507,0,0,0,0,0,0,0.270059515,0.148152129,0.081791822,0.356,0.258647526
18,0.170237,0,0,0,0,0.286422496,0.397373355,0,0,0,0,0,0,0.258854517,0.156702598,0.079491955,0.354,0.253917993
19,0.219336681,0,0,0,0,0.278638776,0.488392525,0,0,0,0,0,0,0.383569773,0.164003221,0.097852697,0.359,0.306788195
20,0.288637155,0,0,0,0,0.270681588,0.478619734,0,0,0,0,0,0,0.224311539,0.193743646,0.090160715,0.367,0.291198732
"TransUnet, Training set subset ratio: 0.3, Testing set subset ratio: 0.1",,,,,,,,,,,,,,,,,,
1,0.092240824,0,0,0,0,0.232635249,0.259711445,0,0,0,0,0,0,0.392483621,0.134042912,0.069790796,2.204,0.22222281
2,0.130192101,0,0,0,0,0.24453254,0.374885196,0,0,0,0,0,0,0.418594823,0.12685404,0.08344319,1.874,0.25901174
3,0.133535733,0,0,0,0,0.254009451,0.435305442,0,0,0,0,0,0,0.434097775,0.136736417,0.089782029,1.53,0.278736964
4,0.138883449,0,0,0,0,0.268830433,0.419595462,0,0,0,0,0,0,0.459372299,0.143885914,0.091905832,1.347,0.286113511
5,0.138244076,0,0,0,0,0.262721904,0.440834934,0,0,0,0,0,0,0.384806443,0.146870738,0.087614811,1.062,0.274695619
6,0.176444483,0,0,0,0,0.273149267,0.482656472,0,0,0,0,0,0,0.463897875,0.150522763,0.099724864,0.998,0.309334172
7,0.175512378,0,0,0,0,0.262278574,0.423212794,0,0,0,0,0,0,0.484619851,0.153223416,0.096115971,0.802,0.299769403
8,0.200287061,0,0,0,0,0.268165566,0.426918592,0,0,0,0,0,0,0.452270296,0.151962772,0.096260108,0.688,0.299920857
9,0.223716727,0,0,0,0,0.288841086,0.506954997,0,0,0,0,0,0,0.431551558,0.156066012,0.103647455,0.697,0.321426076
10,0.28889009,0,0,0,0,0.299576876,0.52107653,0,0,0,0,0,0,0.517260289,0.165960086,0.11620027,0.623,0.358552774
11,0.284383215,0,0,0,0,0.290102613,0.521026395,0,0,0,0,0,0,0.560589251,0.167829904,0.118292962,0.585,0.364786276
12,0.212986581,0,0,0,0,0.29545341,0.522268597,0,0,0,0,0,0,0.510193069,0.157560596,0.110064404,0.557,0.339692451
13,0.38859532,0,0,0,0,0.301068388,0.5529905,0,0,0,0,0,0,0.50425004,0.15961463,0.124778875,0.538,0.381303776
14,0.301883926,0,0,0,0,0.297309396,0.547168399,0,0,0,0,0,0,0.564500202,0.154766695,0.122204423,0.526,0.373125724
15,0.367297522,0,0,0,0,0.296994089,0.558236423,0,0,0,0,0,0,0.584482492,0.168831652,0.12907218,0.501,0.395168436
16,0.32259947,0,0,0,0,0.302120592,0.552543429,0,0,0,0,0,0,0.475208029,0.154834115,0.11803368,0.492682045,0.361461127
17,0.361093353,0,0,0,0,0.30252178,0.579848964,0,0,0,0,0,0,0.48184678,0.177227182,0.123236491,0.478956706,0.380507612
18,0.357638702,0,0,0,0,0.28190784,0.563681594,0,0,0,0,0,0,0.51923362,0.154009933,0.123032983,0.473686038,0.375294338
19,0.352495004,0,0,0,0,0.295020495,0.552764997,0,0,0,0,0,0,0.481850351,0.166695879,0.120152203,0.470882059,0.369765345
20,0.280445293,0,0,0,0,0.298278252,0.539706901,0,0,0,0,0,0,0.516996068,0.19588576,0.11681618,0.457208421,0.366262455
1,0.0072138571973358765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296206838778697,0.0,0.0027,3.0105245113372803
